Nf,sample,Nd,occurence,Site,Tree,Plug,Site_tree_plug,State,dateSamp,dbh,NeoFruiting,RaisedCanker,TarrySpots,Wax,Xylococcus,TreeCond,quartile,NeoCoverage,lat,lon,elev_m,Year_infection_observed.min,county,year_sampled,duration_infection,Site_mean.dbh,Site_mean.NeoFruiting,Site_mean.RaisedCanker,Site_mean.TarrySpots,Site_mean.Wax,Site_mean.Xylococcus,Site_mean.TreeCond,ppt,tmax,MAT,tmin,total_seqs
1,BP143,1,both,MEN1,38,1,MEN1_38_1,ME,6-Jun-18,14.2,0,1,0,1,1,0,interquartile dbh,0,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,1375
1,BP144,1,both,GK1j,34,1,GK1j_34_1,WV,2-May-18,17.1,1,3,0,1,1,2,lower quartile dbh,2,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,70188
0,BP145,1,Nd,MEN1,22,1,MEN1_22_1,ME,6-Jun-18,12.4,1,1,0,1,0,0,lower quartile dbh,1,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,66930
1,BP146,0,Nf,ADS1,35,2,ADS1_35_2,NY,29-Apr-18,21.2,2,2,0,1,0,1,interquartile dbh,2,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,26211
0,BP147,1,Nd,MEN1,2,1,MEN1_2_1,ME,6-Jun-18,17.5,0,3,21,2,1,3,interquartile dbh,0,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,36252
0,BP148,0,none,GK1j,40,1,GK1j_40_1,WV,2-May-18,29.2,0,2,0,1,1,0,upper quartile dbh,0,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,2323
1,BP149,0,Nf,GK1j,16,2,GK1j_16_2,WV,2-May-18,22.2,1,3,0,1,2,2,interquartile dbh,2,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,12479
1,BP15,1,both,MEN1,28,4,MEN1_28_4,ME,6-Jun-18,17.4,1,3,1,2,1,3,interquartile dbh,1,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,10373
0,BP150,1,Nd,GK1j,3,4,GK1j_3_4,WV,2-May-18,28.3,1,3,0,0,0,3,upper quartile dbh,2,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,29225
1,BP151,0,Nf,CW1,13,1,CW1_13_1,NH,18-Jan-19,46.3,0,0,0,0,0,0,upper quartile dbh,0,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,13503
0,BP152,1,Nd,CW1,13,2,CW1_13_2,NH,18-Jan-19,46.3,0,0,0,0,0,0,upper quartile dbh,0,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,1015
1,BP153,1,both,GK1j,3,3,GK1j_3_3,WV,2-May-18,28.3,1,3,0,0,0,3,upper quartile dbh,2,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,50244
1,BP154,0,Nf,GK1j,11,3,GK1j_11_3,WV,2-May-18,16.2,1,2,0,1,1,2,lower quartile dbh,2,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,35582
1,BP155,0,Nf,GK1j,16,1,GK1j_16_1,WV,2-May-18,22.2,1,3,0,1,2,2,interquartile dbh,4,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,12
1,BP156,0,Nf,GK1j,16,3,GK1j_16_3,WV,2-May-18,22.2,1,3,0,1,2,2,interquartile dbh,1,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,13405
1,BP157,0,Nf,CW1,10,2,CW1_10_2,NH,18-Jan-19,13.5,0,2,1,2,0,1,lower quartile dbh,0,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,16672
1,BP158,0,Nf,GK1j,41,1,GK1j_41_1,WV,2-May-18,25.7,1,1,0,2,1,1,interquartile dbh,2,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,64671
1,BP159,0,Nf,CW1,5,1,CW1_5_1,NH,18-Jan-19,28.9,1,1,1,1,0,1,interquartile dbh,1,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,38042
1,BP16,0,Nf,ASH2,65,1,ASH2_65_1,NC,27-Jan-19,17.3,2,0,0,1,0,0,interquartile dbh,1,35.320256,-82.843865,1550,1999,Haywood,2019,20,16.6921875,0.703125,0.03125,0,0.453125,0,0.625,1951.430054,15.59000015,10.11666679,4.643333435,1285
1,BP160,1,both,MEN1,29,1,MEN1_29_1,ME,6-Jun-18,22.6,1,3,21,2,1,3,upper quartile dbh,2,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,20015
1,BP161,1,both,MEN1,45,1,MEN1_45_1,ME,6-Jun-18,19.4,1,2,0,1,0,2,upper quartile dbh,0,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,70217
1,BP162,0,Nf,CW1,9,2,CW1_9_2,NH,18-Jan-19,18,1,2,1,2,0,1,lower quartile dbh,2,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,63435
1,BP163,0,Nf,CW1,9,1,CW1_9_1,NH,18-Jan-19,18,1,2,1,2,0,1,lower quartile dbh,3,43.133999,-70.951026,15,1960,Strafford,2019,59,27.76428571,1.214285714,1.357142857,0.928571429,1.642857143,0,0.428571429,1150.579956,14.38083363,8.432916641,2.485000134,22080
1,BP164,0,Nf,GK1j,44,1,GK1j_44_1,WV,2-May-18,18.9,0,3,0,2,1,1,lower quartile dbh,0,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,19270
1,BP165,1,both,MEN1,9,1,MEN1_9_1,ME,6-Jun-18,12.1,1,3,31,2,1,2,lower quartile dbh,2,46.65849,-68.69133,432,1950,Aroostook,2018,68,16.96078431,0.235294118,2.509803922,6.215686275,0.921568627,0.666666667,2.058823529,1073.420044,9.851666451,3.580416679,-2.69083333,8348
0,BP166,1,Nd,GK1j,7,1,GK1j_7_1,WV,2-May-18,20.6,0,2,0,2,1,3,interquartile dbh,0,38.60741,-79.84431,1161,1999,Randolph,2018,19,25.69607843,0.156862745,1.647058824,0,0.607843137,0.745098039,2.470588235,1385.109985,12.9491663,7.011250019,1.073333263,1311
0,BP167,0,none,WF1,22,1,WF1_22_1,WI,22-Apr-18,18,0,0,0,4,0,1,lower quartile dbh,0,44.92835,-87.18913,616,2009,Door,2018,9,30.14901961,0,0,0,3.254901961,0,2.196078431,797.6300049,11.61499977,6.860000134,2.105000019,65208
0,BP168,0,none,WF1,45,1,WF1_45_1,WI,22-Apr-18,10.8,0,0,0,3,0,1,lower quartile dbh,0,44.92835,-87.18913,616,2009,Door,2018,9,30.14901961,0,0,0,3.254901961,0,2.196078431,797.6300049,11.61499977,6.860000134,2.105000019,92095
0,BP169,0,none,ADN1,31,1,ADN1_31_1,NY,26-May-18,12.1,0,0,0,1,0,0,lower quartile dbh,0,44.49242,-74.02946,603,1975,Franklin,2018,43,18.13,0.18,0.58,0.08,0.98,0.38,0.52,1140.719971,11.32499981,5.073333263,-1.178333402,7284
1,BP17,0,Nf,ADS1,10,2,ADS1_10_2,NY,29-Apr-18,13,3,2,0,2,0,0,lower quartile dbh,1,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,2957
0,BP170,0,none,WF1,17,1,WF1_17_1,WI,22-Apr-18,31.1,0,0,0,2,0,2,interquartile dbh,0,44.92835,-87.18913,616,2009,Door,2018,9,30.14901961,0,0,0,3.254901961,0,2.196078431,797.6300049,11.61499977,6.860000134,2.105000019,96855
0,BP171,0,none,WF1,35,1,WF1_35_1,WI,22-Apr-18,48.9,0,0,0,5,0,1,upper quartile dbh,0,44.92835,-87.18913,616,2009,Door,2018,9,30.14901961,0,0,0,3.254901961,0,2.196078431,797.6300049,11.61499977,6.860000134,2.105000019,110252
0,BP172,1,Nd,WF1,13,1,WF1_13_1,WI,22-Apr-18,37.8,0,0,0,3,0,2,interquartile dbh,0,44.92835,-87.18913,616,2009,Door,2018,9,30.14901961,0,0,0,3.254901961,0,2.196078431,797.6300049,11.61499977,6.860000134,2.105000019,24122
0,BP173,0,none,WF1,9,1,WF1_9_1,WI,22-Apr-18,13.9,0,0,0,4,0,2,lower quartile dbh,0,44.92835,-87.18913,616,2009,Door,2018,9,30.14901961,0,0,0,3.254901961,0,2.196078431,797.6300049,11.61499977,6.860000134,2.105000019,24432
1,BP174,0,Nf,ADS1,21,3,ADS1_21_3,NY,29-Apr-18,13.4,2,3,0,1,0,1,lower quartile dbh,1,43.08413,-74.44064,430,1960,Fulton,2018,58,23.75882353,0.745098039,1.980392157,0,0.882352941,0.039215686,1.549019608,1229.859985,12.16166687,6.522083282,0.882499993,2003
0,BP175,0,none,WF1,48,1,WF1_48_1,WI,22-Apr-18,38.1,0,0,0,5,0,1,interquartile dbh,0,44.92835,-87.18913,616,2009,Door,2018,9,30.14901961,0,0,0,3.254901961,0,2.196078431,797.6300049,11.61499977,6.860000134,2.105000019,40917
1,BP176,0,Nf,TSP1,49,1,TSP1_49_1,PA,15-Dec-17,17.3,0,2,0,2,0,1,interquartile dbh,0,41.21444,-75.38344,642,1975,Monroe,2017,42,18.21698113,0.283018868,1.245283019,0.094339623,0.962264151,0,1.754716981,1376.579956,12.72166634,7.735833645,2.75,15875
1,BP177,1,both,ADN1,42,5,ADN1_42_5,NY,26-May-18,30.8,1,3,1,1,1,1,upper quartile dbh,1,44.49242,-74.02946,603,1975,Franklin,2018,43,18.13,0.18,0.58,0.08,0.98,0.38,0.52,1140.719971,11.32499981,5.073333263,-1.178333402,72763
